publishedAt,title,description,thumbnailurl
2018-02-28T17:00:42Z,The Original Orange Chicken by Panda Express,Reserve the One Top: http://bit.ly/2v0iast Get the recipe: https://tasty.co/recipe/original-orange-chicken-by-panda-express Buy the Tasty Cookbook Today: ...,https://i.ytimg.com/vi/5Sa9nYKiYg0/default.jpg
2017-06-14T16:00:09Z,The Best Chewy Chocolate Chip Cookies,"Check out the Tasty One-Stop Shop for cookbooks, aprons, hats, and more at TastyShop.com: http://bit.ly/2mEBY0e Super soft, chewy, and studded with ...",https://i.ytimg.com/vi/3vUtRRZG0xY/default.jpg
2018-07-22T16:00:19Z,The Most Fool-Proof Macarons You&#39;ll Ever Make,https://www.buzzfeed.com/marietelling/how-to-make-macarons?utm_term=.kkgkRxLmw#.ae7RewPg4 Get the recipe! - https://tasty.co/recipe/macarons Shop the ...,https://i.ytimg.com/vi/MjVgIXccYXA/default.jpg
2016-10-27T01:00:00Z,How To Cook With Cast Iron,This guide will make cooking with cast iron a breeze! Check us out on Facebook! - facebook.com/buzzfeedtasty MUSIC Promenade En Provence Licensed via ...,https://i.ytimg.com/vi/KLGSLCaksdY/default.jpg
2016-02-25T22:23:40Z,Chicken Pot Pie (As Made By Wolfgang Puck),"Read more! - http://bzfd.it/1XPgzLN Recipe! 2 pounds cooked boneless, skinless chicken, shredded Salt Freshly ground black pepper 4 tablespoons vegetable ...",https://i.ytimg.com/vi/_eOA-zawYEA/default.jpg
2018-11-10T16:00:07Z,How To Make The Creamiest Mashed Potatoes,Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/67341.,https://i.ytimg.com/vi/x6O9SwocyKQ/default.jpg
2017-03-30T22:00:19Z,Homemade Chicken Tikka Masala,"Here is what you'll need! Homemade Chicken Tikka Masala Servings: 5-6 INGREDIENTS Chicken Marinade 3 boneless, skinless chicken breasts 1 lemon 125 ...",https://i.ytimg.com/vi/lnRmIKkGCIA/default.jpg
2016-05-31T18:00:00Z,Puff Pastry 4 Ways,Here is what you'll need! RECIPE: Cream Cheese Filling INGREDIENTS 1 8-ounce block cream cheese ¼ cup granulated sugar ½ teaspoon vanilla extract ...,https://i.ytimg.com/vi/3_Pp9fwLkBY/default.jpg
2018-11-17T20:00:01Z,Can We Make A Dish Without Knowing The Ingredients?,"Alix and Rie team up to play a recipe game where a cook must figure out how to make a mystery dish using only verbal commands from an instructor, but there's ...",https://i.ytimg.com/vi/kIwF0z9W5pE/default.jpg
2018-04-22T15:00:30Z,How To Cook A Perfect Risotto,https://www.buzzfeed.com/marietelling/how-to-make-risotto?utm_term=.beNOOPok8#.bt4xx8LRq Shop the Tasty kitchenware collection here: ...,https://i.ytimg.com/vi/NKtR3KpS83w/default.jpg
2018-05-20T19:00:37Z,How To Make Homemade Japanese Food,Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/57173 MUSIC Licensed via Audio Network.,https://i.ytimg.com/vi/7mz9UKbGyzo/default.jpg
2018-01-08T18:22:31Z,8 Desserts in 1 Sheet Tray,Get the recipe: https://tasty.co/recipe/8-desserts-in-1-pan To check out classic Tasty recipes on our NEW @Tasty Recipes YouTube page ...,https://i.ytimg.com/vi/_yDm51-lR2I/default.jpg
2018-03-03T02:00:14Z,Wolfgang Puck’s Oscar Worthy Dishes,Check out a few secrets from Wolfgang Puck who is catering the offical Oscar's afterparty this year. Check out his website: http://wolfgangpuck.com/catering Here ...,https://i.ytimg.com/vi/ONZAeOIqsjA/default.jpg
2019-03-14T19:00:02Z,How To Make Moist Carrot Cake With Kiano • Tasty,"Kiano shares baking tips on how to make delicious moist carrot cake. If you want more of Tasty, check out our merch here: https://amzn.to/2GJ2xvv Subscribe to ...",https://i.ytimg.com/vi/ONFXCECvIlc/default.jpg
2018-04-18T22:00:44Z,100-Layer Lasagna Challenge: Behind Tasty,Get the recipe: https://tasty.co/recipe/100-layer-lasagna Shop the Tasty kitchenware collection here: http://bit.ly/2IooLS4 Check us out on Facebook!,https://i.ytimg.com/vi/xBiB4CIq9FE/default.jpg
2018-11-24T20:00:00Z,Can This Chef Make A 3-Course Meal In A Coffee Maker?,Alexis is challenged to make a delicious 3-course meal using only one tricky appliance. Follow Alexis on Instagram @alexisdeboschnek Check us out on ...,https://i.ytimg.com/vi/B4Jlofn3qZI/default.jpg
2018-05-05T16:00:47Z,We Tried To Re-Create This Cheese-Covered Burger,"""This week Andrew and Niki cover a burger in cheese! Make sure to check out new episodes of Eating Your Feed every Saturday."" Check us out on Facebook!",https://i.ytimg.com/vi/dKccvk36atQ/default.jpg
2017-11-04T22:00:36Z,How Mozzarella Is Made,Reserve the One Top: http://bit.ly/2v0iast Credits: FB: https://www.facebook.com/CasaDellaMozzarella/ IG: https://www.instagram.com/casadellamozzarella/ ...,https://i.ytimg.com/vi/pU_VoyWfLfY/default.jpg
2017-09-24T15:00:53Z,Basic Knife Skills,Learn how to chop properly with your knives! Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/27336 ...,https://i.ytimg.com/vi/G-Fg7l7G1zw/default.jpg
2020-06-12T19:00:08Z,Can This Chef Make Froot Loops Fancy? • Tasty,Rie is challenged to make Froot Loops fancy! Check out the newest MAKE IT FANCY MERCH! https://bzfd.it/shopfancyyoutube Subscribe to Rie on YouTube: ...,https://i.ytimg.com/vi/Y2NGZl4JHNs/default.jpg
2019-08-02T15:00:17Z,Can This Chef Make Twinkies Fancy? • Tasty,"Make your OWN fancy recipe with this interactive Make It Fancy episode: https://bzfd.it/2UHAkfz ""Make it fancy!!"" Subscribe to Tasty: https://bzfd.it/2ri82Z1 About ...",https://i.ytimg.com/vi/s-G74EQIwEQ/default.jpg
2019-08-25T15:00:00Z,How Bagels Are Made • Tasty,"Take a look behind the scenes at the mesmerizing process to make soft, chewy bagels. Check Out Orwashers Bakery: https://www.orwashers.com Follow them ...",https://i.ytimg.com/vi/6QUt8KEAs_0/default.jpg
2019-01-14T17:00:11Z,5 Keto Recipes That Will Fill You Up • Tasty,"Subscribe to Tasty: https://bzfd.it/2ri82Z1 About Tasty: The official YouTube channel of all things Tasty, the world's largest food network. From recipes ...",https://i.ytimg.com/vi/lrwMKkyU14k/default.jpg
2020-05-02T15:00:11Z,Can This Chef Cook A 3-Course Meal With Power Tools? • Tasty,I think you've broken me. This is the end!” This video was filmed before shelter-in-place orders were announced. BuzzFeed employees are now practicing social ...,https://i.ytimg.com/vi/RPGHKJUOl8I/default.jpg
2020-04-15T17:32:31Z,Saturday Night Seder: The Prince of Egypt&#39;s When You Believe (ft. Shoshana Bean and Cynthia Erivo),"Music Produced, edited and mixed by Michael J. Moritz Jr Shop the NEW Tasty Merch: https://bzfd.it/shoptastyyoutube Subscribe to Tasty: https://bzfd.it/2ri82Z1 ...",https://i.ytimg.com/vi/fsf6V2ciuqE/default.jpg
2017-01-26T17:00:04Z,Tasty Nacho Cook-Off,Customize & buy the Tasty Cookbook here: http://bzfd.it/2fpfeu5 Here is what you'll need! STEAK AND POTATO NACHOS Serves 4 - 6 INGREDIENTS 2 russet ...,https://i.ytimg.com/vi/rKhYDgs_ncc/default.jpg
2019-03-16T15:00:05Z,Can This Chef Make A 3-Course Meal With A Clothing Iron? • Tasty,Alexis is challenged to make a 3-course meal with one clever caveat. She must cook without any pots or pans and using only a clothing iron! If you want more of ...,https://i.ytimg.com/vi/fjCinn-sjzk/default.jpg
2017-06-19T16:20:10Z,Tasty Cook-Off: Burgers,"PUB BURGER WITH CARAMELIZED ONIONS AND BACON Servings: 1 INGREDIENTS 2 slices bacon 1 sweet onion, sliced thinly 1 tablespoon balsamic ...",https://i.ytimg.com/vi/ko_XULzxKco/default.jpg
2018-05-26T15:00:09Z,We Tried To Make The Most Intimidating Pasta Dish (Timpano),A little danger adds a lot of excitement to a meal!” Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: ...,https://i.ytimg.com/vi/YpUDblEURdY/default.jpg
2017-04-07T16:00:29Z,Tasty Cook-Off: Fried Chicken,Here is what you'll need! BUTTERMILK FRIED CHICKEN THIGHS Servings: 8-12 INGREDIENTS 8-12 boneless skinless chicken thighs Oil for frying Buttermilk ...,https://i.ytimg.com/vi/gauyUvRIPzs/default.jpg
2018-07-01T16:00:22Z,The Best Brownies You&#39;ll Ever Eat,https://www.buzzfeed.com/marietelling/heres-exactly-how-to-make-the-best-brownies-of-your-life?utm_term=.riAvJ3ae2x#.qrQ6pkmVxv Shop the Tasty ...,https://i.ytimg.com/vi/VvJm4pQZ04s/default.jpg
2018-04-29T15:00:19Z,How To Make Perfect Chocolate Chip Cookies,https://www.buzzfeed.com/marietelling/brown-butter-chocolate-chip-cookies Shop the Tasty kitchenware collection here: http://bit.ly/2IooLS4 Check us out on ...,https://i.ytimg.com/vi/rEdl2Uetpvo/default.jpg
2019-08-31T15:00:08Z,Can This Chef Make A 3-Course Meal With A Blender? • Tasty,"Smells kind of like a...natural food shop.” Subscribe to Tasty: https://bzfd.it/2ri82Z1 About Tasty: The official YouTube channel of all things Tasty, the world's ...",https://i.ytimg.com/vi/o8F2ZKZ5XsQ/default.jpg
